SSC_CODE_2016,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SSC51121,0,3,0,0,6
SSC51122,40,23,0,0,168
SSC51123,0,0,0,0,0
SSC51124,0,0,0,0,3
SSC51125,274,127,43,10,1483
SSC51126,63,36,7,3,334
SSC51127,0,3,0,0,7
SSC51128,384,349,136,48,2233
SSC51129,13,11,5,0,53
SSC51130,5,3,0,0,25
SSC51131,0,0,3,0,17
SSC51132,5,0,0,0,31
SSC51133,0,3,3,0,12
SSC51134,131,47,19,8,725
SSC51135,0,3,0,0,11
SSC51136,0,0,0,0,11
SSC51137,689,313,173,90,5156
SSC51138,24,9,4,0,104
SSC51139,4,0,0,0,12
SSC51140,7,3,0,0,40
SSC51141,3,0,0,0,10
SSC51142,8,8,3,0,40
SSC51143,15,8,0,0,77
SSC51144,0,0,0,0,3
SSC51145,0,0,0,0,5
SSC51146,84,66,35,13,375
SSC51147,498,320,174,91,2715
SSC51148,74,53,39,20,338
SSC51149,62,24,15,3,1021
SSC51150,20,9,6,0,120
SSC51151,4,0,0,0,5
SSC51152,26,9,0,0,106
SSC51153,0,0,0,0,9
SSC51154,7,0,0,0,18
SSC51155,106,12,0,0,1080
SSC51156,5,6,3,0,21
SSC51157,56,41,17,7,403
SSC51158,16,6,3,3,52
SSC51159,0,0,0,0,0
SSC51160,6,10,7,0,45
SSC51161,17,22,4,0,116
SSC51162,24,18,18,0,280
SSC51163,0,0,0,0,0
SSC51164,204,94,24,5,1144
SSC51165,105,83,59,12,544
SSC51166,784,425,150,25,4023
SSC51167,0,0,0,0,17
SSC51168,3,0,0,0,19
SSC51169,22,16,9,0,134
SSC51170,7,12,0,0,31
SSC51171,84,15,8,0,426
SSC51172,0,0,0,0,10
SSC51173,0,0,0,0,0
SSC51174,105,90,45,18,835
SSC51175,106,54,21,4,368
SSC51176,3,0,0,0,9
SSC51177,3,0,0,0,9
SSC51178,5,3,0,0,47
SSC51179,269,184,97,25,1924
SSC51180,204,120,57,19,2431
SSC51181,16,12,3,0,65
SSC51182,650,427,122,35,4167
SSC51183,11,8,6,0,66
SSC51184,6,0,0,0,53
SSC51185,0,0,0,0,13
SSC51186,5,9,3,0,32
SSC51187,516,337,193,80,3886
SSC51188,29,0,0,0,318
SSC51189,3,0,0,0,22
SSC51190,58,9,0,0,626
SSC51191,15,8,0,4,67
SSC51192,7,13,0,0,37
SSC51193,0,0,0,0,0
SSC51194,212,96,32,3,1127
SSC51195,3,0,0,0,13
SSC51196,4,0,0,0,25
SSC51197,69,32,15,3,275
SSC51198,485,313,109,25,2962
SSC51199,327,213,116,25,2435
SSC51200,8,8,0,0,34
SSC51201,10,5,0,0,44
SSC51202,12,3,3,0,31
SSC51203,7,4,3,0,31
SSC51204,0,0,0,0,3
SSC51205,10,11,0,0,31
SSC51206,12,0,0,0,97
SSC51207,188,95,28,0,1877
SSC51208,0,3,0,0,4
SSC51209,0,6,0,0,7
SSC51210,141,54,3,0,1091
SSC51211,101,77,12,0,428
SSC51212,70,57,23,4,393
SSC51213,180,108,71,23,896
SSC51214,50,45,18,0,285
SSC51215,17,8,9,5,96
SSC51216,7,0,0,0,19
SSC51217,4,3,0,0,12
SSC51218,656,323,125,38,8225
SSC51219,3,0,0,0,28
SSC51220,13,15,0,0,66
SSC51221,0,0,0,0,7
SSC51222,248,84,24,3,4627
SSC51223,3,0,0,0,22
SSC51224,130,38,15,0,1091
SSC51225,32,39,17,3,249
SSC51226,6,7,3,0,37
SSC51227,10,11,0,0,34
SSC51228,19,24,7,0,113
SSC51229,7,8,0,0,23
SSC51230,3,4,0,0,7
SSC51231,0,0,0,0,25
SSC51232,77,66,26,10,310
SSC51233,15,8,3,0,114
SSC51234,3,6,3,0,47
SSC51235,274,259,151,45,1943
SSC51236,94,25,14,9,436
SSC51237,4,0,0,0,7
SSC51238,14,3,5,0,64
SSC51239,9,3,0,0,99
SSC51240,8,5,0,0,35
SSC51241,20,6,0,0,166
SSC51242,0,0,0,0,0
SSC51243,27,7,4,0,127
SSC51244,18,14,7,0,75
SSC51245,30,39,16,5,182
SSC51246,23,4,4,3,69
SSC51247,118,123,63,13,614
SSC51248,267,71,12,4,2378
SSC51249,722,354,210,126,5862
SSC51250,0,0,0,0,0
SSC51251,31,36,6,3,123
SSC51252,14,3,3,0,65
SSC51253,35,15,0,0,116
SSC51254,0,0,0,0,3
SSC51255,3,0,0,0,9
SSC51256,3,0,0,0,10
SSC51257,61,52,36,7,261
SSC51258,0,0,0,0,25
SSC51259,62,31,7,0,227
SSC51260,238,123,68,17,3296
SSC51261,12,7,0,0,43
SSC51262,3,0,0,0,4
SSC51263,3,0,0,0,16
SSC51264,144,101,42,7,724
SSC51265,0,11,3,0,20
SSC51266,21,21,6,0,84
SSC51267,545,266,100,22,4003
SSC51268,17,5,4,0,64
SSC51269,101,68,46,10,679
SSC51270,47,31,16,0,223
SSC51271,111,123,134,35,919
SSC51272,0,0,0,0,15
SSC51273,3,0,0,0,9
SSC51274,7,3,3,0,33
SSC51275,6,3,0,0,22
SSC51276,266,169,130,93,2451
SSC51277,13,13,5,0,53
SSC51278,20,9,3,3,88
SSC51279,7,3,0,0,31
SSC51280,0,0,0,0,0
SSC51281,0,0,0,0,10
SSC51282,24,16,9,0,116
SSC51283,0,0,0,0,0
SSC51284,0,0,0,0,0
SSC51285,178,138,124,22,1972
SSC51286,8,0,3,0,35
SSC51287,374,314,150,39,2846
SSC51288,604,281,172,69,5998
SSC51289,82,30,4,9,297
SSC51290,1174,899,601,208,6880
SSC51291,20,0,0,0,151
SSC51292,3,0,0,0,3
SSC51293,3,4,4,0,37
SSC51294,39,19,7,3,402
SSC51295,57,28,10,0,253
SSC51296,62,25,5,0,366
SSC51297,659,509,126,28,3416
SSC51298,25,15,8,0,99
SSC51299,25,17,7,0,82
SSC51300,0,3,0,0,7
SSC51301,321,199,228,174,1892
SSC51302,14,4,0,0,119
SSC51303,37,16,6,0,259
SSC51304,10,0,0,0,35
SSC51305,11,4,0,0,89
SSC51306,5,0,0,0,27
SSC51307,8,4,0,0,41
SSC51308,611,465,258,82,3534
SSC51309,14,5,4,0,72
SSC51310,253,195,149,174,1579
SSC51311,200,94,58,17,948
SSC51312,90,77,27,3,458
SSC51313,0,0,0,0,0
SSC51314,0,0,0,0,3
SSC51315,12,11,3,0,50
SSC51316,8,6,0,0,43
SSC51317,96,76,25,3,502
SSC51318,14,0,0,0,62
SSC51319,1080,619,320,101,9780
SSC51320,0,0,0,0,0
SSC51321,81,74,12,0,285
SSC51322,0,0,0,0,18
SSC51323,0,4,0,0,5
SSC51324,4,0,3,0,24
SSC51325,14,13,0,0,38
SSC51326,432,204,65,15,5344
SSC51327,11,9,0,0,78
SSC51328,183,127,73,13,1093
SSC51329,407,175,77,22,4095
SSC51330,10,3,10,3,49
SSC51331,81,85,30,7,411
SSC51332,0,0,0,0,0
SSC51333,0,0,0,0,0
SSC51334,425,309,122,35,2445
SSC51335,461,337,158,54,2741
SSC51336,0,0,0,0,0
SSC51337,341,271,226,125,2098
SSC51338,0,0,0,0,0
SSC51339,17,6,3,0,49
SSC51340,107,99,42,18,614
SSC51341,103,53,20,9,1227
SSC51342,45,24,12,0,306
SSC51343,164,105,49,5,1663
SSC51344,0,0,0,0,0
SSC51345,0,0,0,0,0
SSC51346,11,0,0,0,29
SSC51347,0,0,0,0,0
SSC51348,223,81,15,0,1916
SSC51349,878,614,191,55,4023
SSC51350,0,0,0,0,3
SSC51351,100,45,9,5,632
SSC51352,740,481,269,92,4229
SSC51353,0,0,0,0,5
SSC51354,79,38,18,8,462
SSC51355,0,0,0,0,6
SSC51356,4,5,0,0,24
SSC51357,387,268,71,14,1948
SSC51358,0,0,0,0,6
SSC51359,3,3,3,0,39
SSC51360,222,120,71,12,1614
SSC51361,453,118,29,13,4494
SSC51362,275,108,45,14,1986
SSC51363,0,0,0,0,12
SSC51364,3,0,0,0,15
SSC51365,0,0,0,0,10
SSC51366,321,157,62,25,2581
SSC51367,5,0,0,0,12
SSC51368,5,0,0,0,24
SSC51369,0,0,0,0,3
SSC51370,1245,848,323,138,7715
SSC51371,12,3,3,0,53
SSC51372,0,0,0,0,17
SSC51373,0,0,0,0,4
SSC51374,3,0,0,0,34
SSC51375,0,0,0,3,14
SSC51376,0,0,0,0,11
SSC51377,0,0,0,0,3
SSC51378,3,0,0,0,8
SSC51379,276,272,111,10,1438
SSC51380,18,10,0,0,41
SSC51381,13,0,0,0,32
SSC51382,35,21,16,14,257
SSC51383,466,193,61,8,4655
SSC51384,152,102,44,14,772
SSC51385,653,455,268,152,4779
SSC51386,215,207,134,90,1498
SSC51387,12,5,3,0,35
SSC51388,20,12,3,0,116
SSC51389,4,0,0,0,3
SSC51390,33,13,8,0,373
SSC51391,264,137,85,61,2798
SSC51392,7,9,3,0,24
SSC51393,52,11,0,0,227
SSC51394,703,424,179,47,4824
SSC51395,9,8,0,0,65
SSC51396,0,0,0,0,0
SSC51397,241,195,40,21,1237
SSC51398,4,0,0,0,31
SSC51399,60,31,9,0,535
SSC51400,102,39,9,3,360
SSC51401,3,3,0,0,9
SSC51402,134,84,42,9,1222
SSC51403,0,0,0,0,10
SSC51404,22,4,0,0,188
SSC51405,869,687,298,96,6183
SSC51406,475,179,108,59,4987
SSC51407,11,6,0,0,34
SSC51408,86,62,29,8,643
SSC51409,597,464,198,68,3500
SSC51410,426,291,128,57,2297
SSC51411,13,4,0,0,43
SSC51412,310,24,0,0,2505
SSC51413,25,17,0,0,66
SSC51414,3,0,0,0,12
SSC51415,3,0,0,0,17
SSC51416,0,0,0,0,0
SSC51417,0,0,0,0,3
SSC51418,0,0,0,0,0
SSC51419,21,17,19,3,122
SSC51420,12,8,3,0,73
SSC51421,0,0,0,0,0
SSC51422,14,8,5,0,176
SSC51423,3,0,0,0,7
SSC51424,399,185,92,15,4274
SSC51425,149,57,26,3,635
SSC51426,0,0,0,0,13
SSC51427,0,0,0,0,18
SSC51428,12,3,4,0,47
SSC51429,60,13,0,0,506
SSC51430,0,0,0,0,22
SSC51431,25,21,11,0,104
SSC51432,3,0,4,0,22
SSC51433,4,0,0,0,19
SSC51434,0,0,0,0,0
SSC51435,377,214,52,9,2275
SSC51436,6,3,3,0,39
SSC51437,1526,988,455,109,10197
SSC51438,32,26,3,9,154
SSC51439,7,0,3,0,20
SSC51440,0,0,0,0,5
SSC51441,0,4,0,0,21
SSC51442,3,0,0,0,27
SSC51443,130,22,0,0,1388
SSC51444,4,0,0,0,8
SSC51445,150,137,54,5,652
SSC51446,3,3,0,0,6
SSC51447,0,0,0,0,0
SSC51448,0,0,0,0,3
SSC51449,45,29,13,0,173
SSC51450,21,11,4,0,451
SSC51451,0,0,0,0,0
SSC51452,0,0,0,0,0
SSC51453,8,10,5,0,53
SSC51454,11,8,0,4,59
SSC51455,0,0,0,0,0
SSC51456,269,191,92,38,1573
SSC51457,0,0,0,0,0
SSC51458,366,230,121,58,4076
SSC51459,0,0,0,0,0
SSC51460,7,0,0,0,29
SSC51461,221,164,82,7,1401
SSC51462,0,4,0,0,20
SSC51463,0,0,0,0,9
SSC51464,23,20,3,0,132
SSC51465,0,0,0,0,4
SSC51466,20,21,4,0,99
SSC51467,0,0,0,0,5
SSC51468,58,54,12,3,260
SSC51469,5,0,3,0,24
SSC51470,7,0,0,0,51
SSC51471,141,76,26,7,889
SSC51472,78,48,18,0,538
SSC51473,0,0,0,0,3
SSC51474,3,3,0,0,22
SSC51475,173,92,15,0,1088
SSC51476,552,286,101,36,5476
SSC51477,0,0,0,0,0
SSC51478,55,5,9,0,353
SSC51479,0,0,0,0,0
SSC51480,68,43,41,5,478
SSC51481,4,4,0,0,27
SSC51482,0,0,0,0,13
SSC51483,7,0,0,0,15
SSC51484,3,0,0,0,43
SSC51485,0,3,8,0,18
SSC51486,120,92,38,5,973
SSC51487,144,94,52,26,592
SSC51488,852,445,222,80,5432
SSC51489,0,0,3,0,17
SSC51490,3,0,0,0,28
SSC51491,29,12,4,4,121
SSC51492,0,0,0,0,0
SSC51493,0,0,0,0,0
SSC51494,86,53,26,6,441
SSC51495,0,9,0,0,16
SSC51496,58,32,37,0,226
SSC51497,11,3,0,0,35
SSC51498,4,4,0,0,19
SSC51499,0,0,0,0,0
SSC51500,0,0,0,0,11
SSC51501,0,0,0,0,6
SSC51502,0,0,0,0,0
SSC51503,20,16,5,0,128
SSC51504,164,76,17,3,1512
SSC51505,9,4,3,0,32
SSC51506,198,100,29,9,1781
SSC51507,15,16,11,3,70
SSC51508,4,0,0,0,17
SSC51509,5,10,3,0,47
SSC51510,307,288,99,21,1728
SSC51511,838,619,282,137,5514
SSC51512,3,0,0,0,12
SSC51513,13,13,6,0,64
SSC51514,21,15,3,0,179
SSC51515,0,0,3,0,9
SSC51516,0,0,0,0,17
SSC51517,9,0,0,0,85
SSC51518,693,377,183,41,4673
SSC51519,9,0,0,0,24
SSC51520,200,132,120,51,1237
SSC51521,0,0,0,0,6
SSC51522,9,6,0,0,27
SSC51523,3,0,0,0,13
SSC51524,38,37,6,4,292
SSC51525,304,286,117,47,1929
SSC51526,14,6,0,0,62
SSC51527,3,3,0,0,12
SSC51528,269,173,53,5,1313
SSC51529,3,10,4,0,66
SSC51530,158,100,47,9,720
SSC51531,9,9,0,0,57
SSC51532,5,0,0,0,26
SSC51533,230,114,31,10,2739
SSC51534,37,27,4,3,198
SSC51535,3,0,0,0,15
SSC51536,10,3,0,0,91
SSC51537,3,7,3,0,20
SSC51538,10,4,0,0,39
SSC51539,9,3,0,0,69
SSC51540,0,0,0,0,8
SSC51541,0,0,0,0,0
SSC51542,348,173,46,6,4601
SSC51543,0,3,3,0,28
SSC51544,3,0,0,0,5
SSC51545,27,9,3,0,72
SSC51546,11,7,0,0,31
SSC51547,4,4,0,0,15
SSC51548,827,495,284,155,6706
SSC51549,535,385,303,76,3548
SSC51550,0,6,0,0,18
SSC51551,129,84,46,6,718
SSC51552,0,0,0,0,0
SSC51553,626,530,274,93,3716
SSC51554,0,0,0,0,0
SSC51555,0,0,0,0,6
SSC51556,12,10,0,0,66
SSC51557,37,53,36,12,249
SSC51558,0,0,0,0,9
SSC51559,0,0,0,0,8
SSC51560,0,0,0,0,8
SSC51561,81,32,6,0,595
SSC51562,355,237,100,66,2629
SSC51563,3,0,0,0,9
SSC51564,316,244,122,76,4133
SSC51565,15,8,4,0,50
SSC51566,26,14,3,0,159
SSC51567,9,12,5,3,34
SSC51568,10,3,0,0,37
SSC51569,65,33,18,4,639
SSC51570,62,50,13,0,223
SSC51571,8,3,4,0,40
SSC51572,259,169,106,24,3054
SSC51573,13,10,8,0,97
SSC51574,0,0,0,0,14
SSC51575,5,3,0,0,25
SSC51576,31,8,0,3,142
SSC51577,276,101,45,16,1587
SSC51578,29,20,10,0,210
SSC51579,0,0,0,0,0
SSC51580,0,0,0,0,0
SSC51581,0,0,0,0,7
SSC51582,4,0,0,0,9
SSC51583,0,0,0,0,0
SSC51584,20,17,6,0,125
SSC51585,97,10,0,0,1070
SSC51586,3,0,3,0,9
SSC51587,4,7,0,0,18
SSC51588,0,0,0,0,3
SSC51589,3,3,0,0,17
SSC51590,0,0,0,0,3
SSC51591,0,0,0,0,6
SSC51592,5,3,3,0,17
SSC51593,246,166,127,65,2333
SSC51594,3,0,0,0,66
SSC51595,1488,976,319,101,9084
SSC51596,21,18,0,0,74
SSC51597,75,41,18,3,390
SSC51598,11,14,4,0,63
SSC51599,41,29,3,0,219
SSC51600,394,257,166,123,3454
SSC51601,42,15,3,0,390
SSC51602,25,14,3,0,113
SSC51603,14,5,0,0,63
SSC51604,7,4,0,0,14
SSC51605,23,10,3,0,82
SSC51606,701,406,126,38,3212
SSC51607,27,18,3,0,133
SSC51608,183,140,72,8,1235
SSC51609,0,0,0,0,12
SSC51610,3,0,0,0,12
SSC51611,0,0,0,0,5
SSC51612,22,8,6,0,171
SSC51613,3,0,0,0,19
SSC51614,5,0,0,0,22
SSC51615,69,31,11,10,353
SSC51616,0,0,0,0,12
SSC51617,22,16,8,0,89
SSC51618,130,70,57,17,696
SSC51619,14,10,4,0,74
SSC51620,130,72,27,7,634
SSC51621,348,232,231,72,2225
SSC51622,0,0,0,0,4
SSC51623,49,37,21,3,267
SSC51624,928,396,157,60,4562
SSC51625,4,3,0,0,40
SSC51626,0,0,0,0,20
SSC51627,3,5,4,0,12
SSC51628,0,0,0,0,8
SSC51629,173,84,26,0,2233
SSC51630,106,64,15,3,577
SSC51631,11,6,0,0,32
SSC51632,6,5,0,0,9
SSC51633,8,3,5,4,36
SSC51634,102,69,34,3,567
SSC51635,38,22,8,4,174
SSC51636,0,0,0,0,0
SSC51637,31,31,20,11,161
SSC51638,0,0,0,0,7
SSC51639,48,34,4,0,299
SSC51640,6,0,0,0,9
SSC51641,0,0,0,0,12
SSC51642,14,10,4,0,79
SSC51643,169,128,148,139,1318
SSC51644,0,0,0,0,0
SSC51645,25,4,3,0,156
SSC51646,3,6,0,0,26
SSC51647,110,81,24,3,586
SSC51648,44,22,5,0,157
SSC51649,128,109,26,0,1099
SSC51650,454,391,207,99,4097
SSC51651,0,0,0,0,11
SSC51652,3,0,0,0,6
SSC51653,467,180,77,17,3462
SSC51654,18,9,5,0,71
SSC51655,0,0,0,0,6
SSC51656,0,0,0,0,5
SSC51657,5,3,0,0,26
SSC51658,38,24,6,0,168
SSC51659,0,0,0,0,7
SSC51660,9,5,0,0,34
SSC51661,10,7,0,0,38
SSC51662,0,0,0,0,0
SSC51663,13,6,4,0,50
SSC51664,6,0,0,0,3
SSC51665,3,0,0,0,9
SSC51666,13,3,4,0,42
SSC51667,7,3,0,0,25
SSC51668,4,0,0,0,18
SSC51669,0,0,0,0,9
SSC51670,3,0,0,0,20
SSC51671,0,0,0,0,3
SSC51672,780,463,374,204,6563
SSC51673,8,4,0,0,41
SSC51674,233,233,113,26,1144
SSC51675,0,3,0,0,13
SSC51676,11,8,4,0,37
SSC51677,0,0,0,0,6
SSC51678,5,0,0,0,26
SSC51679,48,34,9,0,178
SSC51680,0,0,0,0,6
SSC51681,3,3,0,0,8
SSC51682,0,0,0,0,0
SSC51683,0,0,0,0,0
SSC59494,633,368,58,13,3820
SSC59797,31,4,3,0,338
